"","GayMarriage","SexualFreedom","GayAdoption","GenderQuotas","AffirmativeAction","LegalizedMarijuana","Country","LibCons","LeftRight","Gender","Age"
"1","0","0","2","1","0","2","India",4,8,"Male",25
"2","0","0","0","0","0","0","India",4,5,"Male",43
"3","0","0","0","1","0","0","India",1,6,"Male",27
"4","0","1","1","0","0","1","India",4,4,"Female",33
"5","2","1","2","1","2","2","India",2,4,"Male",46
"6","0","1","0","0","1","0","India",5,6,"Female",34
"7","0","0","0","2","2","2","India",3,8,"Female",39
"8","0","1","0","0","0","2","India",3,6,"Male",36
"9","0","1","0","0","2","0","India",5,6,"Male",33
"10","0","0","0","1","0","0","India",2,5,"Male",22
"11","1","1","1","1","0","0","India",1,10,"Female",23
"12","2","2","2","1","1","2","India",5,7,"Male",24
"13","0","2","2","0","1","0","India",4,6,"Female",32
"14","0","0","0","0","1","0","India",2,1,"Male",22
"15","0","1","0","2","2","2","India",3,7,"Female",25
"16","0","0","0","1","1","2","India",6,9,"Male",23
"17","0","0","0","0","1","1","India",4,7,"Male",22
"18","1","0","0","2","2","2","India",2,9,"Female",24
"19","0","1","0","1","1","1","India",1,10,"Female",28
"20","2","1","2","1","1","2","India",2,9,"Male",23
"21","0","0","2","1","1","0","India",4,8,"Female",24
"22","2","0","1","1","1","1","India",4,7,"Male",33
"23","0","0","0","0","0","2","India",4,7,"Female",36
"24","0","0","0","1","1","2","India",7,10,"Male",23
"25","2","1","1","1","1","2","India",3,2,"Male",32
"26","1","1","1","0","1","1","India",4,6,"Male",22
"27","0","1","0","1","1","0","India",4,5,"Male",22
"28","0","2","2","1","1","1","India",4,6,"Male",24
"29","0","0","0","2","1","0","India",4,5,"Male",39
"30","0","2","0","2","1","0","India",4,7,"Male",23
"31","2","0","2","0","1","2","India",4,5,"Female",26
"32","0","1","0","1","1","0","India",6,3,"Male",21
"33","0","0","0","1","1","2","India",2,9,"Female",24
"34","0","0","0","2","1","2","India",2,1,"Male",22
"35","0","1","0","1","2","2","India",7,8,"Male",34
"36","0","1","0","0","0","0","India",4,6,"Female",25
"37","0","1","0","0","0","0","India",3,7,"Male",31
"39","2","2","0","0","0","2","India",4,7,"Male",42
"40","0","1","0","1","0","2","India",4,7,"Male",36
"41","0","0","1","2","2","1","India",5,7,"Male",32
"42","1","1","1","2","1","2","India",2,3,"Female",51
"43","1","0","2","2","1","2","India",4,6,"Female",46
"44","1","1","1","0","0","0","India",3,6,"Male",51
"45","0","1","0","0","1","0","India",2,1,"Male",28
"46","2","2","0","1","1","2","India",3,8,"Female",48
"47","2","1","0","2","1","1","India",5,8,"Male",24
"48","0","1","0","1","0","0","India",4,5,"Male",22
"49","0","2","0","0","1","2","India",4,5,"Male",49
"50","1","1","2","2","1","0","India",4,8,"Male",31
"51","0","1","0","1","1","0","India",4,7,"Male",27
"52","1","0","0","0","1","1","India",4,7,"Female",46
"53","2","2","1","2","1","2","India",3,8,"Male",26
"54","0","1","0","1","1","0","India",2,7,"Female",27
"55","1","1","0","0","1","0","India",7,6,"Male",20
"56","1","1","0","0","0","1","India",3,7,"Male",36
"57","0","1","0","0","1","2","India",2,8,"Male",25
"58","0","0","0","1","1","0","India",4,6,"Female",35
"59","0","0","0","1","1","1","India",2,9,"Female",32
"60","0","0","0","1","2","1","India",4,6,"Female",39
"61","0","0","0","1","1","0","India",3,3,"Female",33
"62","2","2","2","1","1","2","India",2,7,"Male",41
"63","0","0","0","0","1","0","India",4,6,"Female",36
"64","0","0","0","1","2","2","India",6,8,"Female",40
"65","0","1","0","1","0","2","India",5,6,"Male",38
"66","1","1","1","0","0","1","India",2,2,"Male",25
"67","0","0","0","1","1","2","India",4,5,"Male",42
"69","0","1","0","1","0","2","India",8,5,"Female",30
"70","0","2","0","1","1","1","India",2,8,"Female",34
"71","0","0","0","0","1","2","India",4,5,"Male",36
"72","0","1","1","2","1","2","India",5,6,"Male",35
"73","2","0","2","1","2","2","India",2,7,"Female",25
"74","0","0","0","0","1","0","India",5,6,"Female",31
"75","0","0","0","1","0","0","India",2,10,"Male",26
"76","1","0","1","1","1","1","India",1,9,"Female",49
"77","0","0","0","0","0","0","India",2,1,"Male",34
"78","1","0","1","2","2","2","India",4,6,"Female",22
"79","0","0","0","0","0","0","India",2,1,"Male",42
"80","0","1","0","0","0","0","India",4,8,"Male",24
"81","0","0","0","1","1","1","India",7,8,"Male",29
"82","0","0","2","1","1","2","India",6,5,"Male",28
"83","0","0","2","2","1","0","India",3,8,"Female",22
"84","0","0","0","0","1","0","India",6,7,"Male",23
"85","1","0","2","0","1","2","India",3,6,"Female",29
"86","2","0","2","0","0","2","India",2,9,"Female",25
"87","0","1","1","0","1","1","India",4,8,"Male",28
"88","0","1","0","2","0","2","India",2,8,"Male",32
"89","0","2","2","0","2","0","India",4,8,"Female",48
"90","2","2","2","2","2","0","India",3,3,"Male",33
"91","0","0","1","0","0","1","India",3,9,"Male",45
"92","1","1","1","2","1","2","India",4,8,"Female",28
"93","0","0","0","1","1","1","India",2,8,"Male",22
"94","1","2","1","2","1","0","India",3,7,"Female",35
"95","0","2","1","0","0","0","India",2,6,"Male",61
"97","0","2","2","1","1","0","India",2,9,"Female",33
"98","0","1","0","0","1","0","India",2,8,"Male",47
"99","0","0","0","2","2","1","India",4,7,"Male",37
"100","0","0","2","2","2","2","India",8,7,"Male",24
"101","1","1","2","1","0","0","India",4,5,"Male",24
"102","2","2","2","1","2","0","India",4,6,"Male",36
"103","2","2","2","1","2","0","India",3,9,"Male",30
"104","2","1","2","2","1","2","India",4,7,"Male",28
"106","0","0","0","0","2","0","India",4,8,"Female",37
"107","0","1","0","0","1","0","India",4,5,"Male",41
"108","0","0","0","1","2","1","India",3,6,"Male",25
"109","1","1","0","1","1","1","India",4,7,"Male",28
"110","0","1","0","1","0","0","India",2,2,"Male",31
"111","0","0","0","0","1","2","India",3,4,"Male",31
"112","2","0","1","2","1","0","India",3,6,"Female",25
"113","0","1","0","1","2","0","India",5,6,"Female",35
"114","0","2","2","2","0","2","India",3,7,"Female",50
"115","1","1","2","0","1","2","India",4,6,"Female",25
"116","0","2","0","1","2","0","India",4,6,"Male",40
"117","0","1","0","0","1","0","India",2,9,"Male",32
"118","0","1","1","1","2","0","India",2,5,"Female",22
"119","1","1","1","0","0","1","India",6,9,"Male",30
"120","0","1","0","1","1","1","India",2,9,"Male",20
"121","0","1","1","1","1","0","India",3,9,"Female",22
"122","1","1","1","1","1","1","India",2,8,"Female",33
"123","0","1","0","1","1","2","India",2,10,"Female",26
"124","0","2","2","2","1","2","India",2,6,"Male",25
"125","2","1","0","1","1","1","India",4,5,"Male",24
"126","0","1","0","0","1","0","India",4,7,"Female",28
"127","2","2","0","2","2","0","India",8,5,"Female",35
"128","0","0","2","2","2","2","India",4,6,"Female",33
"129","0","0","0","1","1","0","India",3,7,"Male",23
"130","0","0","1","1","1","1","India",3,7,"Male",23
"131","1","2","1","1","1","2","India",4,5,"Female",26
"132","0","0","0","0","1","2","India",5,9,"Male",69
"133","0","0","0","1","0","0","India",7,1,"Female",44
"134","0","0","2","1","1","1","India",2,4,"Female",38
"135","1","2","1","0","1","2","India",4,5,"Female",19
"136","1","0","2","0","1","0","India",2,5,"Male",27
"137","0","0","0","0","0","1","India",2,8,"Female",33
"138","0","1","1","1","1","1","India",2,6,"Female",38
"139","1","1","1","0","2","0","India",2,9,"Male",40
"140","2","1","2","0","2","0","India",3,7,"Male",31
"141","0","0","2","0","2","1","India",3,6,"Female",27
"142","0","1","0","1","1","1","India",6,9,"Male",27
"143","1","1","2","1","1","2","India",1,9,"Male",21
"144","1","1","1","1","1","2","India",2,10,"Male",25
"145","0","0","2","1","0","0","India",4,6,"Male",28
"146","0","1","1","1","0","2","India",6,7,"Male",22
"147","2","2","2","1","0","2","India",6,5,"Female",27
"148","0","2","2","2","2","2","India",4,6,"Male",22
"149","0","0","0","1","1","1","India",4,7,"Male",30
"150","1","1","0","1","0","0","India",7,10,"Male",25
"151","0","1","0","1","1","0","India",2,4,"Female",25
"152","0","1","0","2","1","0","India",5,9,"Male",28
"153","0","1","0","1","1","2","India",3,8,"Male",22
"154","0","0","0","1","2","2","India",3,6,"Female",38
"155","2","1","2","2","1","1","India",5,3,"Male",22
"156","0","1","0","1","0","0","India",2,10,"Male",20
"157","1","0","1","1","1","1","India",2,7,"Female",27
"158","0","0","0","0","0","0","India",4,5,"Female",40
"159","0","1","0","2","0","0","India",4,6,"Female",24
"161","0","0","2","2","2","1","India",4,3,"Male",55
"162","1","1","2","1","1","2","India",4,6,"Female",26
"163","1","1","1","2","1","1","India",4,5,"Male",30
"164","0","1","0","0","1","2","India",2,8,"Male",28
"165","0","1","2","1","2","2","India",2,9,"Male",21
"166","0","0","1","1","2","2","India",4,6,"Male",46
"167","0","0","0","1","0","0","India",2,8,"Female",32
"168","1","1","1","1","1","1","India",3,8,"Male",24
"169","2","2","2","2","2","2","India",6,8,"Male",30
"170","0","1","0","1","1","0","India",3,3,"Male",33
"171","2","2","2","1","1","2","India",4,6,"Female",39
"172","1","2","1","1","2","2","India",4,7,"Female",29
"173","0","0","0","0","0","2","India",3,6,"Male",33
"174","0","1","0","0","1","1","India",4,7,"Female",26
"175","0","1","0","0","0","0","India",4,5,"Male",62
"176","2","1","2","0","1","0","India",2,6,"Male",45
"177","2","1","2","1","1","2","India",3,6,"Female",32
"178","0","0","1","1","1","0","India",2,8,"Female",29
"179","0","1","0","1","1","2","India",4,8,"Female",31
"180","0","1","2","1","1","2","India",1,8,"Male",66
"181","0","0","1","1","0","2","India",3,5,"Male",45
"182","1","1","1","1","1","2","India",2,9,"Female",24
"183","0","1","0","1","1","0","India",5,9,"Male",26
"184","2","1","0","1","0","0","India",3,7,"Female",27
"185","2","2","2","2","2","2","India",2,5,"Male",43
"186","0","1","0","2","2","2","India",6,8,"Female",22
"187","0","0","0","0","1","1","India",2,8,"Female",36
"188","0","1","0","1","1","0","India",3,6,"Male",20
"189","1","1","1","1","1","0","India",4,5,"Female",32
"190","0","2","0","1","1","0","India",1,8,"Male",33
"191","1","1","1","2","1","1","India",5,9,"Female",30
"192","0","1","0","0","0","0","India",4,5,"Female",40
"193","0","0","0","2","1","1","India",4,10,"Female",29
"194","2","1","2","1","0","2","India",3,9,"Female",20
"195","0","1","0","1","0","0","India",6,3,"Female",26
"196","2","1","2","1","1","1","India",1,10,"Male",34
"197","1","1","1","1","1","0","India",4,5,"Male",33
"198","0","0","0","1","1","2","India",4,4,"Male",23
"199","0","0","2","1","1","2","India",8,1,"Male",28
"200","2","0","2","1","1","0","India",2,7,"Female",25
"201","0","1","0","1","1","1","India",4,6,"Male",24
"202","0","1","2","1","1","1","India",3,9,"Male",33
"203","2","1","2","0","0","0","India",4,6,"Female",33
"204","0","2","0","1","1","2","India",4,6,"Male",42
"206","0","1","0","0","1","0","India",4,7,"Male",53
"207","0","0","0","1","1","0","India",3,6,"Female",25
"208","0","0","0","1","1","0","India",3,8,"Female",33
"209","0","0","0","1","0","0","India",4,8,"Female",56
"210","1","1","2","1","2","1","India",3,6,"Female",28
"211","0","1","0","0","2","0","India",2,1,"Female",30
"212","2","1","2","2","1","1","India",5,6,"Female",22
"213","0","1","0","2","2","2","India",4,6,"Male",24
"214","2","0","2","0","0","0","India",1,1,"Female",27
"215","0","0","0","0","1","2","India",4,6,"Female",24
"216","0","0","0","1","1","0","India",5,7,"Male",36
"217","1","1","1","1","1","1","India",3,6,"Female",30
"218","0","0","0","0","2","1","India",6,9,"Female",28
"220","1","1","0","1","1","0","India",2,9,"Male",23
"221","0","1","0","0","1","0","India",8,6,"Male",24
"222","0","0","0","1","1","1","India",6,6,"Female",25
"223","2","1","1","2","1","0","India",5,7,"Female",20
"224","0","1","0","0","2","2","India",8,6,"Male",23
"225","0","2","0","2","0","0","India",4,6,"Male",51
"226","2","2","2","1","1","2","India",4,3,"Female",31
"227","0","0","0","0","0","0","India",2,7,"Male",33
"228","0","0","0","1","0","2","India",4,7,"Male",27
"229","1","1","1","1","0","0","India",5,8,"Female",29
"230","0","2","0","1","2","2","India",4,4,"Female",27
"231","0","1","0","1","1","2","India",6,4,"Male",35
"232","0","1","0","0","1","0","India",4,8,"Female",37
"233","0","0","1","1","0","0","India",2,6,"Female",54
"234","1","1","2","1","2","2","India",6,9,"Male",65
"235","2","1","2","1","1","1","India",2,8,"Male",25
"236","0","1","0","1","1","1","India",6,9,"Female",26
"237","0","0","0","1","1","0","India",6,7,"Female",24
"238","0","1","1","1","0","1","India",6,10,"Male",20
"239","2","0","2","2","1","2","India",4,6,"Female",25
"240","0","1","0","0","0","0","India",2,6,"Female",35
"241","2","0","0","0","1","1","India",4,7,"Male",23
"242","0","0","0","1","1","0","India",3,6,"Male",22
"243","0","2","0","0","0","0","India",2,6,"Male",48
"244","0","2","2","2","2","2","India",2,4,"Female",36
"245","0","1","0","1","1","0","India",1,10,"Male",35
"246","1","2","2","1","1","2","India",5,4,"Male",25
"247","0","2","2","0","1","2","India",3,6,"Male",27
"248","0","1","0","0","1","2","India",5,8,"Male",24
"249","1","1","1","1","1","2","India",1,10,"Female",25
"250","2","2","2","2","2","2","India",5,7,"Female",25
"251","0","0","1","0","0","0","India",5,8,"Female",31
"252","0","1","1","1","1","1","India",4,7,"Male",25
"253","0","1","0","1","2","2","India",4,6,"Male",21
"254","0","1","0","0","2","0","India",2,6,"Male",41
"255","0","1","0","0","0","0","India",5,3,"Male",23
"256","1","2","1","1","0","0","India",2,6,"Male",24
"257","0","0","0","1","1","2","India",2,8,"Female",24
"258","2","0","0","0","1","2","India",2,10,"Female",49
"259","1","0","1","1","1","0","India",4,8,"Female",40
"260","2","2","2","1","1","1","India",2,8,"Male",21
"261","0","1","0","1","1","0","India",2,3,"Male",55
"262","1","1","1","1","1","1","India",1,10,"Female",33
"263","1","1","0","2","0","0","India",4,7,"Male",19
"264","2","1","2","1","1","2","India",5,7,"Female",30
"265","0","1","0","0","1","0","India",4,7,"Male",25
"267","1","1","1","1","1","0","India",3,7,"Male",25
"268","0","1","0","1","1","1","India",2,10,"Male",28
"269","2","2","2","2","1","2","India",5,4,"Male",21
"270","0","1","1","1","1","0","India",2,3,"Female",70
"271","0","1","2","0","2","2","India",8,1,"Male",29
"272","1","1","1","2","0","0","India",1,6,"Male",23
"273","2","0","0","2","1","2","India",4,7,"Female",40
"274","0","1","2","1","1","1","India",3,4,"Male",49
"275","0","1","0","1","1","0","India",4,4,"Male",34
"276","0","0","2","1","1","2","India",2,8,"Male",24
"277","0","0","0","1","1","1","India",5,4,"Female",45
"278","0","2","2","2","1","0","India",4,6,"Female",28
"279","1","0","1","1","1","1","India",2,7,"Female",32
"280","1","1","1","0","1","1","India",7,6,"Male",28
"281","0","2","0","1","1","2","India",6,6,"Male",21
"282","0","0","1","2","1","1","India",4,7,"Female",43
"283","0","0","2","1","2","2","India",4,6,"Male",51
"284","1","1","0","1","1","1","India",1,10,"Female",29
"285","0","0","0","1","1","1","India",5,6,"Male",29
"286","0","0","0","1","1","2","India",4,5,"Male",32
"287","0","1","1","1","0","0","India",1,1,"Female",32
"288","1","1","1","1","1","1","India",2,4,"Male",38
"289","0","1","0","1","0","1","India",6,9,"Female",33
"290","0","0","1","1","0","2","India",3,7,"Male",29
"291","0","0","0","2","1","0","India",2,7,"Male",22
"292","0","0","0","1","0","1","India",6,3,"Male",31
"293","0","1","1","1","1","1","India",2,5,"Male",29
"294","0","0","0","1","1","1","India",4,8,"Female",31
"295","0","0","0","1","1","2","India",2,8,"Female",34
"296","2","1","2","2","2","2","India",3,10,"Male",20
"297","0","1","0","0","0","2","India",2,2,"Male",22
"299","0","1","0","0","1","0","India",2,8,"Male",47
"300","2","1","0","0","0","2","India",4,7,"Male",27
"301","1","1","1","1","1","1","India",2,7,"Male",25
"302","0","0","0","1","0","0","India",3,7,"Male",26
"305","2","0","2","1","0","2","India",4,7,"Male",20
"306","0","1","1","1","2","0","India",3,7,"Female",25
"307","1","1","1","1","1","1","India",1,1,"Female",100
"608","1","1","1","1","0","0","Hungary",6,3,"Male",21
"609","2","0","0","2","2","0","Hungary",4,8,"Male",20
"610","0","0","0","1","1","1","Hungary",4,5,"Female",21
"611","0","2","0","2","0","2","Hungary",3,5,"Female",22
"612","0","1","0","1","1","2","Hungary",5,6,"Male",22
"613","1","1","1","1","1","0","Hungary",3,4,"Male",21
"614","0","2","2","1","0","0","Hungary",6,6,"Male",22
"615","0","1","0","2","1","2","Hungary",3,7,"Female",20
"616","1","1","2","2","1","1","Hungary",3,4,"Male",21
"617","0","1","0","1","2","1","Hungary",3,5,"Female",24
"618","1","1","1","1","0","2","Hungary",2,3,"Male",20
"619","0","2","0","0","1","0","Hungary",3,5,"Female",24
"620","1","1","1","0","1","0","Hungary",3,4,"Male",21
"621","1","1","1","2","2","2","Hungary",1,8,"Male",19
"622","1","1","2","1","1","2","Hungary",5,5,"Male",23
"623","2","1","0","1","2","2","Hungary",4,8,"Female",22
"624","0","2","0","1","2","0","Hungary",1,4,"Female",24
"625","1","1","1","1","2","2","Hungary",3,5,"Male",20
"626","1","1","1","2","1","2","Hungary",4,2,"Female",23
"627","1","2","0","1","1","2","Hungary",3,5,"Male",23
"628","1","1","1","1","2","0","Hungary",2,2,"Male",24
"629","0","0","0","1","1","2","Hungary",4,4,"Female",22
"630","1","1","1","1","2","1","Hungary",4,4,"Male",27
"631","1","1","1","1","1","2","Hungary",5,4,"Male",22
