"","Party","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20"
"Sessions","R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Shelby","R","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Murkowski","R","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","1"
"Stevens","R","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1"
"Kyl","R","0","0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"McCain","R","0","1",NA,NA,NA,NA,"1","0","0",NA,"0",NA,NA,"0","0",NA,NA,NA,NA,NA
"Lincoln","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"Pryor","D","1","1","1","0","1","0","0","1","1","0","1","1","1","1","0","1","0","1","1","1"
"Boxer","D","1","1","1","1","1","1","0","1","1",NA,"1","1","1","1",NA,"1","1","1","1","0"
"Feinstein","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"Allard","R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Salazar","D","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"Dodd","D","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"1","0"
"Lieberman","I","1","1","0","0","1","1","1","1","0","0","1","1","1","1","0","1","0","1","1","1"
"Biden","D","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1",NA,"0","0","1","0"
"Carper","D","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"Martinez","R","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Nelson","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0"
"Chambliss","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Isakson","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Akaka","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1"
"Inouye","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1"
"Craig","R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Crapo","R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Durbin","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Obama","D","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"1",NA,NA,NA,"1",NA
"Bayh","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
"Lugar","R","0","1","0","0","0","1","1","0","0",NA,"1","1","1","1","0","1","0","0","1","0"
"Grassley","R","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1"
"Harkin","D","1","1","1","1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1"
"Brownback","R","0","0","0","0",NA,"0",NA,"0","0","0","0","0","0","0","0","0","0","0","0","1"
"Roberts","R","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"Bunning","R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"McConnell","R","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Landrieu","D","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","0","1"
"Vitter","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"Collins","R","0","1","1","0","1","1","0","0","1","0","1","1","1","1","0","1","0","0","1","0"
"Snowe","R","0","1","1","0","1","1","0","0","1","0","1","1","1","1","0","1","0","0","1","1"
"Cardin","D","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1"
